lyrics,enum
"দুইটি হৃদয়ে একটি আসন পাতিয়া বসো হে হৃদয়নাথ।
কল্যাণকরে মঙ্গলডোরে বাঁধিয়া রাখো হে দোঁহার হাত॥
প্রাণেশ, তোমার প্রেম অনন্ত জাগাক হৃদয়ে চিরবসন্ত,
যুগল প্রাণের মধুর মিলনে করো হে করুণনয়নপাত॥
সংসারপথ দীর্ঘ দারুণ, বাহিরিবে দুটি পান্থ তরুণ,
আজিকে তোমার প্রসাদ-অরুণ করুক প্রকাশ নব প্রভাত॥
তব মঙ্গল, তব মহত্ত্ব, তোমারি মাধুরী, তোমারি সত্য–
দোঁহার চিত্তে রহুক নিত্য নব নব রূপে দিবস-রাত॥",5
"সুধাসাগরতীরে হে, এসেছে নরনারী সুধারসপিয়াসে॥
শুভ বিভাবরী, শোভাময়ী ধরণী,
নিখিল গাহে আজি আকুল আশ্বাসে॥
গগনে বিকাশে তব প্রেমপূর্ণিমা,
  মধুর বহে তব কৃপাসমীরণ।
  আনন্দতরঙ্গ উঠে দশ দিকে,
  মগ্ন মন প্রাণ অমৃত-উচ্ছ্বাসে॥",5
"উজ্জ্বল করো হে আজি এ আনন্দরাতি
বিকাশিয়া তোমার আনন্দমুখভাতি।
সভা-মাঝে তুমি আজ   বিরাজো হে রাজরাজ,
আনন্দে রেখেছি তব সিংহাসন পাতি॥
সুন্দর করো, হে প্রভু, জীবন যৌবন
তোমারি মাধুরীসুধা করি বরিষন।
লহো তুমি লহো তুলে   তোমারি চরণমূলে
নবীন মিলনমালা প্রেমসূত্রে গাঁথি॥
মঙ্গল করো হে, আজি মঙ্গলবন্ধন
তব শুভ আশীর্বাদ করি বিতরণ।
বরিষ হে ধ্রুবতারা, কল্যণকিরণধারা–
দুর্দিনে সুদিনে তুমি থাকো চিরসাথি॥",5
"দুটি প্রাণ এক ঠাঁই তুমি তো এনেছ ডাকি,
    শুভকার্যে জাগিতেছে তোমার প্রসন্ন আঁখি॥
এ জগতচরাচরে         বেঁধেছ যে প্রেমডোরে
    সে প্রেমে বাঁধিয়া দোঁহে স্নেহছায়ে রাখো ঢাকি॥
    তোমারি আদেশ লয়ে সংসারে পশিবে দোঁহে,
    তোমারি আশিস-বলে এড়াইবে মায়ামোহে।
সাধিতে তোমার কাজ        দুজনে চলিবে আজ,
    হৃদয়ে মিলাবে হৃদি তোমারে হৃদয়ে রাখি॥",5
"সুখে থাকো আর সুখী করো সবে,
তোমাদের প্রেম ধন্য হোক ভবে॥
মঙ্গলের পথে থেকো নিরন্তর,
মহত্ত্বের ’পরে রাখিয়ো নির্ভর–
ধ্রুবসত্য তাঁরে ধ্রুবতারা কোরো  সংশয়নিশীথে সংসার-অর্ণবে।
চিরসুধাময় প্রেমের মিলন   মধুর করিয়া রাখুক জীবন,
দুজনার বলে সবল দুজন   জীবনের কাজ সাধিয়ো নীরবে॥
কত দুঃখ আছে, কত অশ্রুজল–
প্রেমবলে তবু থাকিয়ো অটল।
তাঁহারি ইচ্ছা হউক সফল   বিপদে সম্পদে শোকে উৎসবে॥",5
"দুই হৃদয়ের নদী একত্র মিলিল যদি
বলো, দেব, কার পানে আগ্রহে ছুটিয়া যায়॥
সম্মুখে রয়েছ তার   তুমি প্রেমপারাবার,
তোমারি অনন্তহৃদে দুটিতে মিলিতে চায়॥
সেই এক আশা করি দুইজনে মিলিয়াছে,
সেই এক লক্ষ্য ধরি দুইজনে চলিয়াছে।
পথে বাধা শত শত,   পাষাণ পর্বত কত,
  দুই বলে এক হয়ে ভাঙিয়া ফেলিবে তায়॥
অবশেষে জীবনের মহাযাত্রা ফুরাইলে
তোমারি স্নেহের কোলে যেন গো আশ্রয় মিলে,
দুটি হৃদয়ের সুখ    দুটি হৃদয়ের দুখ
দুটি হৃদয়ের আশা মিলায় তোমার পায়॥",5
"দুজনে যেথায় মিলিছে সেথায়  তুমি থাকো, প্রভু, তুমি থাকো।
দুজনে যাহারা চলেছে তাদের  তুমি রাখো, প্রভু, সাথে রাখো॥
যেথা দুজনের মিলিছে দৃষ্টি     সেথা হোক তব সুধার বৃষ্টি–
দোঁহে যারা ডাকে দোঁহারে তাদের তুমি ডাকো, প্রভু, তুমি ডাকো॥
দুজনে মিলিয়া গৃহের প্রদীপে      জ্বালাইছে যে আলোক
তাহাতে, হে দেব, হে বিশ্বদেব,      তোমারি আরতি হোক॥
মধুর মিলনে মিলি দুটি হিয়া      প্রেমের বৃন্তে উঠে বিকশিয়া,
সকল অশুভ হইতে তাহারে      তুমি ঢাকো, প্রভু, তুমি ঢাকো॥",5
"যে তরণীখানি ভাসালে দুজনে আজি, হে নবীন সংসারী,
কাণ্ডারী কোরো তাঁহারে তাহার যিনি এ ভবের কাণ্ডারীৼ
কালপারাবার যিনি চিরদিন    করিছেন পার বিরামবিহীন
শুভযাত্রায় আজি তিনি দিন     প্রসাদপবন সঞ্চারিৼ
নিয়ো নিয়ো চিরজীবনপাথেয়,   ভরি নিয়ো তরী কল্যাণে।
সুখে দুখে শোকে আঁধারে আলোকে যেয়ো অমৃতের সন্ধানে।
বাঁধা নাহি থেকো আলসে আবেশে,    ঝড়ে ঝঞ্ঝায় চলে যেয়ো হেসে,
তোমাদের প্রেম দিয়ো দেশে দেশে   বিশ্বের মাঝে বিস্তারি।",5
"শুভদিনে এসেছে দোঁহে চরণে তোমার,
শিখাও প্রেমের শিক্ষা, কোথা যাবে আর॥
যে প্রেম সুখেতে কভু  মলিন না হয়, প্রভু,
যে প্রেম দুঃখেতে ধরে উজ্জ্বল আকার॥
যে প্রেম সমান ভাবে রবে চিরদিন,
নিমেষে নিমেষে যাহা হইবে নবীন।
যে প্রেমের শুভ্র হাসি   প্রভাতকিরণরাশি,
যে প্রেমের অশ্রুজল শিশির উষার॥
যে প্রেমের পথ গেছে অমৃতসদনে
সে প্রেম দেখায়ে দাও পথিক-দুজনে।
যদি কভু শ্রান্ত হয়   কোলে নিয়ো দয়াময়–
যদি কভু পথ ভোলে দেখায়ো আবার॥",5
"সবারে করি আহ্বান–
এসো উৎসুকচিত্ত,  এসো আনন্দিত প্রাণ॥
হৃদয় দেহো পাতি,  হেথাকার দিবা রাতি
করুক নবজীবনদান॥
আকাশে আকাশে বনে বনে   তোমাদের মনে মনে
বিছায়ে বিছায়ে দিবে গান।
সুন্দরের পাদপীঠতলে   যেখানে কল্যাণদীপ জ্বলে
সেথা পাবে স্থান॥",5
"আ য় আ য়    আয় আমাদের অঙ্গনে অতিথি বালক তরুদল–
মানবের স্নেহসঙ্গ নে,  চল্‌ আমাদের ঘরে চল্‌॥
শ্যাম বঙ্কিম ভঙ্গিতে  চঞ্চল কলসঙ্গীতে
    দ্বারে নিয়ে আয় শাখায় শাখায়  প্রাণ-আনন্দ-কোলাহল॥
তোদের নবীন পল্লবে   নাচুক আলোক সবিতার,
 দে পবনে বনবল্লভে  মর্মরগীত-উপহার।
আজি শ্রাবণের বর্ষণে    আশীর্বাদের স্পর্শ নে,
‍     পড়ুক মাথায়   পাতায় পাতায়   অমরাবতীর ধারাজল॥",5
"মরুবিজয়ের কেতন উড়াও শূন্যে    হে প্রবল প্রাণ।
ধূলিরে ধন্য করো করুণার পুণ্যে    হে কোমল প্রাণ॥
  মৌনী মাটির মর্মের গান কবে   উঠিবে ধ্বনিয়া মর্মর তব রবে,
মাধুরী ভরিবে ফুলে ফলে পল্লবে   হে মোহন প্রাণ॥
পথিকবন্ধু , ছায়ার আসন পাতি    এসো শ্যামসুন্দর।
এসো বাতাসের অধীর খেলার সাথি,    মাতাও নীলাম্বর।
উষায় জাগাও শাখায় গানের আশা,    সন্ধ্যায় আনো বিরামগভীর ভাষা,
রচি দাও রাতে সুপ্ত গীতের বাসা    হে উদার প্রাণ॥",5
"ওহে   নবীন অতিথি, তুমি নূতন কি তুমি চিরন্তন।
 যুগে যুগে কোথা তুমি ছিলে সঙ্গোপন॥
যতনে কত-কী আনি বেঁধেছিনু গৃহখানি,
   হেথা কে তোমারে বলো করেছিল নিমন্ত্রণ॥
কত আশা ভালোবাসা গভীর হৃদয়তলে
ঢেকে রেখেছিনু বুকে কত হাসি-অশ্রুজলে।
  একটি না কহি বাণী  তুমি এলে মহারানী,
     কেমনে গোপনে মনে করিলে হে পদার্পণ॥",5
" এসো   হে   গৃহদেবতা
এ ভবন পুণ্যপ্রভাবে করো পবিত্র।
বিরাজো জননী, সবার জীবন ভরি–
দেখাও আদর্শ মহান চরিত্র॥
শিখাও করিতে ক্ষমা, করো হে ক্ষমা,
জাগায়ে রাখো মনে তব উপমা,
দেহো ধৈর্য হৃদয়ে–
সুখে দুখে সঙ্কটে অটল চিত্ত॥
দেখাও রজনী-দিবা   বিমল বিভা,
বিতরো পুরজনে শুভ্র প্রতিভা–
নব শোভাকিরণে
করো গৃহ সুন্দর রম্য বিচিত্র॥
সবে করো প্রেমদান   পূরিয়া প্রাণ–
ভুলায়ে রাখো, সখা, আত্মাভিমান।
সব বৈর হবে দূর
তোমারে বরণ করি জীবনমিত্র॥",5
"ফিরে চল্‌,   ফিরে চল্‌,   ফিরে চল্‌ মাটির টানে–
     যে মাটি আঁচল পেতে চেয়ে আছে মুখের পানে।
যার   বুক ফেটে এই প্রাণ উঠেছে,   হাসিতে যার ফুল ফুটেছে রে,
ডাক দিল যে গানে গানে॥
দিক্‌ হতে ওই দিগন্তরে কোল রয়েছে পাতা,
জন্মমরণ তারি হাতের অলখ সুতোয় গাঁথা।
ওর   হৃদয়-গলা জলের ধারা   সাগর-পানে আত্মহারা রে
প্রাণের বাণী বয়ে আনে॥",5
"আয় রে মোরা ফসল কাটি–
ফসল কাটি,    ফসল কাটি।
       মাঠ আমাদের মিতা ওরে,    আজ তারি সওগাতে
মোদের    ঘরের আঙন সারা বছর ভরবে দিনে রাতে॥
  মোরা    নেব তারি দান,    তাই-যে কাটি ধান,
    তাই-যে গাহি গান– তাই-যে সুখে খাটি॥
      বাদল এসে রচেছিল ছায়ার মায়াঘর,
        রোদ এসেছে সোনার জাদুকর।
ও সে    সোনার জাদুকর।
  শ্যামে সোনায় মিলন হল মোদের মাঠের মাঝে,
মোদের    ভালোবাসার মাটি-যে তাই সাজল এমন সাজে।
 মোরা    নেব তারি দান,    তাই-যে কাটি ধান,
  তাই-যে গাহি গান– তাই-যে সুখে খাটি॥",5
"  অগ্নিশিখা,    এসো এসো, আনো আনো আলো।
দুঃখে সুখে ঘরে ঘরে গৃহদীপ জ্বালো॥
আনো শক্তি, আনো দীপ্তি,    আনো শান্তি, আনো তৃপ্তি,
  আনো স্নিগ্ধ ভালোবাসা, আনো নিত্য ভালো॥
    এসো পুণ্যপথ বেয়ে এসো হে কল্যাণী–
    শুভ সুপ্তি , শুভ জাগরণ দেহো আনি।
দুঃখরাতে মাতৃবেশে    জেগে থাকো নির্নিমেষে,
  আনদ-উৎসবে তব শুভ্র হাসি ঢালো॥",5
"এসো এসো এসো প্রাণের উৎসবে,
দক্ষিণবায়ুর বেণুরবে।
পাখির প্রভাতী গানে   এসো এসো পুণ্যস্নানে
আলোকের অমৃতনির্ঝরে॥
এসো এসো তুমি উদাসীন।
এসো এসো তুমি দিশাহীন।
প্রিয়েরে বরিতে হবে,    বরমাল্য আনো তবে–
দক্ষিণা দক্ষিণ তব করে॥
দুঃখ আছে অপেক্ষিয়া দ্বারে–
বীর, তুমি বক্ষে লহো তারে।
পথের কন্টক দলি    এসো চলি, এসো চলি
ঝটিকার মেঘমন্দ্রস্বরে॥",5
"বিশ্বরাজালয়ে বিশ্ববীণা বাজিছে।
স্থলে জলে নভতলে বনে উপবনে
নদীনদে গিরি-গুহা-পারাবারে
নিত্য জাগে সরস সঙ্গীতমধুরিমা,    নিত্য নৃত্যরসভঙ্গিমা।
নববসন্তে নব আনন্দ–উৎসব নব–
অতি মঞ্জুল, অতি মঞ্জুল, শুনি মঞ্জুল গুঞ্জন কুঞ্জে ;
শুনি রে শুনি মর্মর পল্লবপুঞ্জে ;
পিককূজন পুষ্পবনে বিজনে।
তব স্নিগ্ধসুশোভন লোচনলোভন শ্যামসভাতলমাঝে
কলগীত সুললিত বাজে।
তোমার নিশ্বাসসুখপরশে    উচ্ছ্বাসহরষে
পল্লবিত, মঞ্জরিত, গুঞ্জরিত, উল্লসিত সুন্দর ধরা।
দিকে দিকে তব বাণী–নব নব তব গাথা–অবিরল রসধারা॥",5
"দিনের বিচার করো–
দিনশেষে তব সমুখে দাঁড়ানু ,  ওহে জীবনেশ্বর।
দিনের কর্ম লইয়া স্মরণে সন্ধ্যাবেলায় সঁপিনু চরণে–
কিছু ঢাকা নাই তোমার নয়নে, এখন বিচার করো॥
মিথ্যা আচারে যদি থাকি মজি আমার বিচার করো।
মিথ্যা দেবতা যদি থাকি ভজি,  আমার বিচার করো।
লোভে যদি কারে দিয়ে থাকি দুখ,    ভয়ে হয়ে থাকি ধর্মবিমুখ,
পরনিন্দায় পেয়ে থাকি সুখ, আমার বিচার করো॥
অশুভকামনা করি যদি কার,  আমার বিচার করো।
রোষে যদি কারো করি অবিচার,  আমার বিচার করো।
তুমি যে জীবন দিয়েছ আমারে    কলঙ্ক যদি দিয়ে থাকি তারে,
আপনি বিনাশ করি আপনারে,   আমার বিচার করো॥",5
"  তোমার    আনন্দ ওই গো
তোমার      আনন্দ ওই এল দ্বারে, এল এল এল গো, ওগো পুরবাসী।
বুকের       আঁচলখানি       সুখের       আঁচলখানি–
দুখের    আঁচলখানি ধুলায় পেতে আঙিনাতে মেলো গো॥
সেচন কোরো– তার পথে পথে সেচন কোরো–
পা       ফেলবে যেথায় সেচন কোরো গন্ধবারি,
  মলিন না হয় চরণ তারি–
তোমার    সুন্দর ওই গো–
তোমার    সুন্দর ওই এল দ্বারে, এল এল এল গো।
হৃদয়খানি– আকুল হৃদয়খানি সম্মুখে তার ছড়িয়ে ফেলো–
রেখো না,    রেখো না গো ধরে, ছড়িয়ে ফেলো ফেলো গো॥
তোমার    সকল ধন যে ধন্য হল হল গো।
 বিশ্বজনের কল্যাণে আজ    ঘরের দুয়ার–
       ঘরের দুয়ার খোলো গো।
 রাঙা হল– রঙে রঙে রাঙা হল–কার হাসির রঙে
হেরো    রাঙা হল সকল গগন, চিত্ত হল পুলক-মগন–
তোমার    নিত্য আলো এল দ্বারে, এল এল এল গো।
পরান-প্রদীপ– তোমার পরান-প্রদীপ তুলে ধোরো ওই আলোতে–
রেখো না, রেখো না গো দূরে–
ওই আলোতে জ্বেলো গো॥",5